country,year,countryyear,iso3c,iso3n,cowcode,hrmicode,disap_mean,disap_sd,disap_lo,disap_hi,exkill_mean,exkill_sd,exkill_lo,exkill_hi,arrest_mean,arrest_sd,arrest_lo,arrest_hi,tort_mean,tort_sd,tort_lo,tort_hi,dpex_mean,dpex_sd,dpex_lo,dpex_hi,express_mean,express_sd,express_lo,express_hi,polpart_mean,polpart_sd,polpart_lo,polpart_hi,assem_mean,assem_sd,assem_lo,assem_hi,rel_mean,rel_sd,rel_lo,rel_hi,physint_mean,physint_sd,physint_lo,physint_hi,empower_mean,empower_sd,empower_lo,empower_hi
Angola,2017,AGO2017,AGO,24,540,1,6.0369577,1.004778,4.7508421,7.3230734,4.4657845,.82489336,3.4099212,5.5216479,3.0948424,.52491415,2.4229524,3.7667325,2.6329184,.57321411,1.8992043,3.3666325,10,0,10,10,3.5347662,1.3358967,1.8248184,5.2447138,3.3876379,.78564048,2.3820181,4.3932576,2.9074578,.86131471,1.804975,4.0099406,,,,,4.3665113,.95965958,3.1381471,5.5948758,3.2109277,.88018751,2.0842876,4.3375678
Angola,2018,AGO2018,AGO,24,540,1,6.8409309,.53902763,6.1509757,7.5308862,4.7284236,.35354671,4.2758837,5.1809635,4.2401156,.41643819,3.7070746,4.7731566,3.8218336,.41535684,3.2901769,4.3534904,10,0,10,10,5.060607,.43807369,4.4998727,5.6213412,5.1650352,.51764721,4.5024467,5.8276238,5.1308932,.40620664,4.6109486,5.6508379,,,,,5.1154056,.79753298,4.0945635,6.1362476,5.0932765,.69321984,4.205955,5.980598
Angola,2019,AGO2019,AGO,24,540,1,5.9424777,.70348054,5.0420227,6.8429327,4.4597583,.39411449,3.9552917,4.9642248,4.3285422,.5730933,3.5949829,5.0621018,4.3025966,.49103194,3.6740756,4.9311175,10,0,10,10,4.3937883,.34055895,3.9578729,4.8297038,4.6021304,.4820182,3.985147,5.2191138,5.0943394,.51328909,4.4373293,5.7513494,,,,,4.4299073,.8620739,3.3264527,5.5333619,4.7970386,.68968838,3.9142375,5.6798396
Angola,2020,AGO2020,AGO,24,540,1,4.9845219,.86388671,3.878747,6.0902967,3.0978296,.56985021,2.3684213,3.8272378,3.5280204,.80984712,2.491416,4.5646248,4.1260657,.84692311,3.0420041,5.2101274,10,0,10,10,3.5924487,.51598024,2.931994,4.2529035,3.4524586,.46613204,2.8558097,4.0491076,3.1316562,.41174799,2.6046188,3.6586936,,,,,3.5309398,.90530849,2.3721449,4.6897345,3.3191569,.77661508,2.3250897,4.3132243
Angola,2021,AGO2021,AGO,24,540,1,4.4130397,.68434113,3.5370831,5.2889962,3.4792666,.52879322,2.8024113,4.1561217,3.2374477,.72899395,2.3043356,4.1705599,2.8485794,.61196548,2.0652635,3.6318953,10,0,10,10,3.6349645,.53854942,2.9456213,4.3243079,4.2967143,.87339061,3.1787744,5.4146543,3.6108189,.51598811,2.9503541,4.2712836,,,,,3.4455032,.81123161,2.4071267,4.4838796,3.697938,.73674613,2.7549028,4.6409731
Angola,2022,AGO2022,AGO,24,540,1,4.2988586,1.1912546,2.7740526,5.8236647,4.202281,.7741518,3.2113667,5.1931953,3.7694051,.8106882,2.7317243,4.807086,3.5367219,.98023969,2.2820151,4.7914286,10,0,10,10,3.4295058,.54536039,2.7314446,4.1275673,4.0455441,1.0528022,2.6979573,5.3931308,3.4258056,.5459702,2.7269638,4.1246476,,,,,3.3751967,.9255237,2.1905262,4.5598669,3.7103398,.73461682,2.7700303,4.6506491
Australia,2017,AUS2017,AUS,36,900,2,8.1789036,.24199784,7.8691463,8.4886608,7.8658724,.2502549,7.5455461,8.1861982,5.9108529,.48848963,5.2855864,6.5361195,5.4418492,.50336313,4.7975445,6.086154,10,0,10,10,7.3349309,.84967744,6.2473435,8.4225178,8.7517185,.59404844,7.9913363,9.5121002,7.3144655,.69749171,6.4216762,8.2072554,,,,,7.2267594,.71679407,6.3092632,8.1442556,7.818799,.78798199,6.8101821,8.8274164
Australia,2018,AUS2018,AUS,36,900,2,8.3038254,.20331532,8.043582,8.5640688,7.2954359,.26054409,6.9619393,7.6289325,5.8581614,.31615373,5.4534845,6.2628384,5.2591152,.30524245,4.8684049,5.6498256,10,0,10,10,6.4485302,.3390196,6.014585,6.8824754,8.1276541,.26658124,7.7864299,8.4688778,7.0949483,.34126204,6.658133,7.5317636,,,,,7.0558586,.71874726,6.1358624,7.9758549,7.2745852,.6642589,6.424334,8.1248369
Australia,2019,AUS2019,AUS,36,900,2,8.5172358,.27103242,8.1703138,8.8641577,6.3142643,.23912567,6.0081835,6.6203451,5.6354017,.2395971,5.3287172,5.9420862,5.1283517,.19752049,4.8755255,5.3811779,10,0,10,10,6.2406373,.21905391,5.9602485,6.5210261,7.8034334,.18394499,7.5679836,8.0388832,7.4695263,.27812481,7.1135263,7.8255262,,,,,6.8167763,.73717391,5.8731937,7.7603588,7.1949935,.65353298,6.3584714,8.0315161
Australia,2020,AUS2020,AUS,36,900,2,8.9519653,.21738325,8.6737146,9.230216,6.8856244,.30076882,6.5006404,7.2706084,6.3375387,.294626,5.9604173,6.7146602,5.3134551,.25502396,4.9870243,5.6398859,10,0,10,10,6.5125809,.24780251,6.1953936,6.8297682,7.6786289,.21077566,7.4088359,7.948422,6.8654571,.32413164,6.4505687,7.2803454,,,,,7.2469497,.73358768,6.3079576,8.1859417,6.8487692,.66824865,5.9934111,7.7041273
